Status,File,Node,Line ID,Hash,Text
NEW,,,"#1e6b0d","#35bf4e","IPÊ: Bom, acho melhor focarmos em\nfazer logo esse trabalho, né?"
NEW,,,"#ba4348","#0e6d19","VOCÊ: Com certeza! Vamos estudar botânica\nno meio da natureza, não teria como ser mais adequado."
NEW,,,"#243cd5","#8101c3","IPÊ: Ha ha..!"
NEW,,,"#f1a2f7","#ebb4ee","IPÊ: Ah, e eu trouxe alguns lanches saudáveis. Quer um?"
NEW,,,"#e1a22f","#5ade52","VOCÊ: Claro, estou precisando de nutrição. O que você tem?"
NEW,,,"#c30761","#474130","IPÊ: Uma variedade de sementes, sanduíche rico\nem fosfato e, claro, água."
NEW,,,"#67e232","#203042","IPÊ: Nada como um bom drink de água, né?"
NEW,,,"#a6826f","#b45f79","VOCÊ: Haha, você realmente leva a sério a hidratação, não é?"
NEW,,,"#8ba279","#70e4a4","IPÊ: Bom, podemos ser pessoas mas também somos plantas.\nNo fim das contas, hidratação é essencial!"
NEW,,,"#5bc48d","#ff6cb9","IPÊ: Na verdade, acho que qualquer organismo\nvivo precisa ser bem regado diariamente."
NEW,,,"#c72788","#94e1b5","..."
NEW,,,"#1348f9","#8e2de3","Vocês finalmente se focam no trabalho,\ne tudo parece fluir bem."
NEW,,,"#a696bb","#932b88","O tempo passa..."
NEW,,,"#a187c3","#94e1b5","..."
NEW,,,"#7ed2f6","#967111","IPÊ: Ahhh, que dia incrível...!"
NEW,,,"#6b6157","#a2ba5a","IPÊ: Obrigade por me fazer companhia no parque\ne por toda a sua compreensão."
NEW,,,"#5a1114","#237e3d","VOCÊ: Foi um dia bem divertido, Ipê.\nEstou feliz por ter te conhecido."
NEW,,,"#1b7ced","#ec3b50","IPÊ: Espero que a gente possa continuar nos\ndando bem e enfrentar juntos os desafios da universidade.\nE quem sabe, outros trabalhos em grupo."
NEW,,,"#06272d","#24b9a5","VOCÊ: Com certeza, Ipê. Também estou ansiose para isso."
NEW,,,"#63443d","#a73b0b","Assim, o primeiro dia na universidade se\nencerra com uma nova amizade brotando, e\nquem sabe, até algo mais no horizonte..."
NEW,,,"#6575da","#b9f7a4","CONTINUA..."
,"scenes/main_scene5-2_dormroom_afternoon.yarn",,,,
,,"Start",,,
,,,"#f74872","#71290a","MANDACARU: ..."
,,,"#a59d0d","#4173c4","MANDACARU: Humm, quem te viu, quem te vê...\n"
,,,"#26098f","#28b76a","MANDACARU: Olha quem me aparece com uma\nvisita pela primeira vez."
,,,"#e20ef6","#4fa0fe","MANDACARU: Quem é elu?"
,,,"#8e7ece","#75fccf","IPÊ: ... Hum. Oi!"
,,,"#61dab3","#f49c5d","IPÊ: ... (Eu não esperava que\nvocê morava com mais alguém)..."
,,,"#5fa09c","#42337b","VOCÊ: Eaí, Mandacaru. Trouxe une colega."
,,,"#04edd9","#192f76","VOCÊ: Estamos\nfazendo uma atividade em dupla,\ne aí trouxe elu aqui em casa."
,,,"#34ac82","#2d3d59","MANDACARU: Tô vendo que o primeiro dia de aula foi bom, então."
,,,"#4f3319","#f8a0c9","VOCÊ: Foi radiante. Conheci Ipê,\ne o professor de botânica é... uma figura."
,,,"#014538","#b96f19","MANDACARU: Ah, sim. O barbudo lá de botânica, né?\nNem me fale."
,,,"#70ec42","#2afe93","MANDACARU: Eu já vi ele por aí e o cara parece\nter saído de um filme de fantasia."
,,,"#0cc351","#8d3fdf","MANDACARU: Mas bem..."
,,,"#d2e6a4","#e950e9","MANDACARU: Eu não estava imaginando que teria\nvisita hoje..."
,,,"#66c557","#e66b77","MANDACARU: ... Então não sei bem o que fazer."
,,,"#666c4c","#7fda8e","MANDACARU: Vocês acham melhor eu sair para vocês\nficarem estudando aqui?"
,,,"#8b63be","#71e2e2","MANDACARU: Já não tem muito espaço aqui no quarto..."
,,,"#189e5c","#7c0d5a","VOCÊ: Ah... Eu não tinha pensado nisso."
,,,"#958784","#588d3e","IPÊ: Er... Uh. Me desculpe por atrapalhar.\nSe quiser, eu posso só-"
,,,"#4b9e38","#55b7b6","MANDACARU: Não, não. Fica de boa aí.\nNão está atrapalhando nada não, queride."
,,,"#94becc","#408269","MANDACARU: Sorte de vocês, eu já tinha que ir no mercado mesmo."
,,,"#69fcd3","#672e2a","VOCÊ: Foi mal. Eu achei que você estaria em aula agora."
,,,"#484087","#683d54","MANDACARU: Ai ai, você.\nComo sempre nas nuvens, né?"
,,,"#9cfd71","#826112","MANDACARU: Já te falei que a minha aula é noturna."
,,,"#bcec34","#ac089c","VOCÊ: Aaah... É verdade. Nossa."
,,,"#c4bc88","#7769dd","VOCÊ: Toda vez eu esqueço\nque vocês cactus se sustentam bem até de noite."
,,,"#b0f1de","#1b7b04","VOCÊ: Ipê até queria passar no Parque da Cidade\ndepois da aula para estudarmos lá, mas\nachei melhor não... Vacilei."
,,,"#1ec400","#d0fbe1","MANDACARU: Parque? Logo no primeiro dia que se conheceram?"
,,,"#00c34a","#33bc3e","MANDACARU: Eu sinto algo sendo nutrido entre vocês, hein..."
,,,"#e3e094","#e3f966","VOCÊ: Haha, engraçado você, Mandacaru."
,,,"#dee942","#ad0493","VOCÊ: A ideia era ir pro parque porque\nlá poderíamos nos sentir em casa\npara fazer a atividade de botânica."
,,,"#709a78","#20d226","VOCÊ: Tô querendo levar essa matéria bastante a\nsério."
,,,"#96f49c","#d14f5f","VOCÊ: Acho que o Professor Mamba vai continuar fazendo\nesse esquema de passar atividades em dupla."
,,,"#791f1e","#9c0d7a","MANDACARU: Isso é uma boa ideia, eu acho."
,,,"#f8e7f8","#28176d","MANDACARU: Enfim, vou vazar aqui para deixar vocês a sós."
,,,"#778be4","#a87ca8","MANDACARU: Boa sorte com isso."
,,,"#7abe8d","#8a8561","MANDACARU: Só tenham juízo, tá? Eu moro aqui também."
,,,"#bb6b28","#d5c860","Mandacaru tomou seu rumo, e você pode jurar que as\nflores de Ipê mudam para vermelho por um segundo\ndepois dessa última fala dele."
,,,"#69beaf","#35bf4e","IPÊ: Bom, acho melhor focarmos em\nfazer logo esse trabalho, né?"
,,,"#6b2cd4","#43b341","VOCÊ: Bom ponto."
,,,"#82f968","#c78295","IPÊ: Por sinal, eu trouxe alguns lanches saudáveis. Quer um?"
,,,"#034552","#5ade52","VOCÊ: Claro, estou precisando de nutrição. O que você tem?"
,,,"#7c4d05","#831fca","IPÊ: Uma variedade de sementes, sanduíche rico em fosfato e,\nclaro, água. Nada como um bom drink de água, né?"
,,,"#77bc54","#5dc9ac","VOCÊ: Humm... Pena que eu prefiro um suco de fruta."
,,,"#fb43b8","#3ab5f7","VOCÊ: Brincadeira, haha. Você realmente\nleva a sério a hidratação, não é?"
,,,"#9ce7d1","#a0dc98","IPÊ: Bom, somos plantas, afinal. No fim das contas, hidratação é essencial!"
,,,"#80b61c","#5b066c","IPÊ: Na verdade, acho que qualquer organismo vivo\nprecisa ser bem regado diariamente."
,,,"#c169a4","#8e2de3","Vocês finalmente se focam no trabalho,\ne tudo parece fluir bem."
,,,"#13fce9","#b9f7a4","CONTINUA..."
